doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
refurbed-return-policy,data/ecommerce/refurbed-return-policy.md,Refurbed Return and Trial Policy,https://www.refurbed.at/en-at/how-to-return-your-product/,2026-09-20,not-stated,public-source
revibe-seller-guidelines,data/ecommerce/revibe-seller-guidelines.md,Revibe Seller Guidelines,https://revibe.ae/pages/become-a-seller,2026-09-20,not-stated,public-source
revibe-terms-and-warranty,data/ecommerce/revibe-terms-and-warranty.md,Revibe Terms and Warranty Policy,https://revibe.ae/pages/terms-and-conditions,2026-09-20,not-stated,public-source
tamara-customer-terms,data/ecommerce/tamara-customer-terms.md,Tamara Customer Terms and Conditions,https://tamara.co/en-sa/terms-and-conditions,2026-09-20,not-stated,public-source
reveni-terms-of-use,data/ecommerce/reveni-terms-of-use.md,Reveni Legal Notice and Terms of Use,https://www.reveni.com/legal/legal,2026-09-20,not-stated,public-source
newegg-return-policy,data/ecommerce/newegg-return-policy.md,Newegg Standard Return Policy,https://www.newegg.com/promotions/nepro/22-0073/index.html,2026-09-20,not-stated,public-source
reebelo-terms-of-service,data/ecommerce/reebelo-terms-of-service.md,Reebelo Terms of Service,https://reebelo.com/policies/terms-of-service,2026-09-20,not-stated,public-source
shopee-returns-buyer,data/ecommerce/shopee-returns-buyer.md,Quy định Hủy đơn hàng, Trả hàng và Hoàn tiền Shopee dành cho Người Mua,https://help.shopee.vn/portal/4/article/77243,2026-09-20,2026-05-01,public-source
shopee-returns-seller,data/ecommerce/shopee-returns-seller.md,Quy định Trả hàng, Hoàn tiền, Phí và Thanh toán Shopee dành cho Người Bán,https://help.shopee.vn/portal/4/article/77243,2026-09-20,2026-05-01,public-source
trang-bao-tri-bao-hanh-doi-tra,data/ecommerce/trang-bao-tri-bao-hanh-doi-tra.md,Bảo trì - Bảo hành - Đổi trả Điện Máy Chợ Lớn,https://dienmaycholon.com/trang-bao-tri-bao-hanh-doi-tra,2026-09-20,2026-08-01,public-source
